id,status,status_desc,alert_geometry_id,alert_code,source,detected_year,detected_at,area_ha,biome_id,biome,biome_area,state_id,state,state_area,city_id,city,city_area,conservation_unit_id,conservation_unit,conservation_unit_area,indigenous_land_id,indigenous_land,indigenous_land_area,quilombo_id,quilombo,quilombo_area,settlement_id,settlement,settlement_area,watershed_l1_id,watershed_l1,watershed_l1_area,watershed_l2_id,watershed_l2,watershed_l2_area,car_count,car_area_max,car_area_min,car_area_sum,car_area_sum_adj,legal_reserve_count,legal_reserve_area_max,legal_reserve_area_min,legal_reserve_area_sum,legal_reserve_area_sum_adj,ppa_count,ppa_area_max,ppa_area_min,ppa_area_sum,ppa_area_sum_adj,river_source_count,def_uas,def_uas_area,def_asv,def_asv_area,def_pmfs,def_pmfs_area,def_poa,def_poa_area,def_efp,def_efp_area,embargoed_properties_count,embargoed_properties_count_area,embargoed_properties_area_min,embargoed_properties_area_max,embargoed_properties_area_sum,before_dt,after_dt,days_interval
134133,published,published,1531234,134133,{GLAD},2020,2020-01-07,14.0229,18416,MATA ATLÂNTICA,14.0229,18392,SÃO PAULO,14.0229,16936,Cajati,14.0229,,,,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,14.0229491,14607.0,Ribeira do Iguape,14.0229491,2,14.023,6.7252,20.7481,14.0229,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2019-10-30,2020-04-16,169.0
228959,published,published,1492861,228959,{GLAD},2020,2020-09-04,8.2262,18416,MATA ATLÂNTICA,8.2262,18392,SÃO PAULO,8.2262,18207,São Paulo,8.2262,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,8.2262345,14663.0,Tietê,8.2262345,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2020-01-29,2020-10-13,258.0
460471,published,published,1535617,460471,{SAD-MATA-ATLANTICA},2021,2021-09-01,0.7469,18416,MATA ATLÂNTICA,0.7469,18392,SÃO PAULO,0.7469,20101,Ibiúna,0.7469,13048.0,APA ITUPARARANGA,0.7469,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.7469294,14663.0,Tietê,0.7469294,1,0.7469,0.7469,0.7469,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
460499,published,published,1535619,460499,{SAD-MATA-ATLANTICA},2021,2021-09-01,0.5466,18416,MATA ATLÂNTICA,0.5466,18392,SÃO PAULO,0.5466,19027,Cotia,0.5466,13048.0,APA ITUPARARANGA,0.5466,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.5466077,14663.0,Tietê,0.5466077,1,0.005,0.005,0.005,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
461074,published,published,1463879,461074,{SAD-MATA-ATLANTICA},2021,2021-09-01,0.5916,18416,MATA ATLÂNTICA,0.5916,18392,SÃO PAULO,0.5916,17963,Itatiba,0.5916,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.591609,14663.0,Tietê,0.591609,1,0.5916,0.5916,0.5916,,1,0.5916,0.5916,0.5916,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
462106,published,published,1360439,462106,{SAD-MATA-ATLANTICA},2021,2021-09-01,0.7366,18416,MATA ATLÂNTICA,0.7366,18392,SÃO PAULO,0.7366,18168,Planalto,0.7366,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.736611,14663.0,Tietê,0.736611,2,0.7366,0.7366,1.4732,0.7366,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,,,
600125,published,published,1353601,600125,{SAD-MATA-ATLANTICA},2022,2022-06-30,4.6131,18416,MATA ATLÂNTICA,4.6131,18392,SÃO PAULO,4.6131,18207,São Paulo,4.6131,14543.0,ÁREA DE PROTEçãO AMBIENTAL BORORé-COLôNIA,4.6131,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,4.6131459,14663.0,Tietê,4.6131459,3,4.6132,0.0,4.6132,4.6131,1,0.0,0.0,0.0,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2021-10-15,2022-01-18,95.0
623483,published,published,1473335,623483,{SAD-MATA-ATLANTICA},2022,2022-07-31,1.3482,18416,MATA ATLÂNTICA,1.3482,18392,SÃO PAULO,1.3482,16910,Fernando Prestes,1.3482,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.3481926,14585.0,Grande,1.3481926,1,1.3482,1.3482,1.3482,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-04-20,2022-04-24,4.0
630296,published,published,1553118,630296,{SAD-MATA-ATLANTICA},2022,2022-08-31,0.7411,18416,MATA ATLÂNTICA,0.7411,18392,SÃO PAULO,0.7411,20791,Alto Alegre,0.7411,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.7410922,14663.0,Tietê,0.7410922,2,0.7411,0.7411,1.4822,0.7411,1,0.7249,0.7249,0.7249,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-06-25,2022-07-03,8.0
735965,published,published,1112428,735965,{SAD-MATA-ATLANTICA},2022,2022-09-30,0.1406,18416,MATA ATLÂNTICA,0.1406,18392,SÃO PAULO,0.1406,20928,Piedade,0.1406,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.1406069,14663.0,Tietê,0.1406069,1,0.1406,0.1406,0.1406,,1,0.1359,0.1359,0.1359,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-06-28,2022-07-11,13.0
